Frequency-segmented Mc UL comparison: Loki vs Run D
============================================================

Loki total samples:        100000000
Run D pre-mask samples:    100000000
Run D post-mask samples:   18535

Loki valid bins (n_k >= 50):  47 / 47
Run D valid bins (n_k >= 50): 45 / 47

LOKI per-bin results:
   log10_fGW       n_k    log10_UL   log10_err
     -8.5238  11878541      9.8224      0.0001
     -8.2857   6268296      9.7422      0.0001
     -8.1353   4738024      9.6694      0.0001
     -8.0244  24589003      9.7517      0.0000
     -7.9364   8182906      9.7378      0.0001
     -7.8634   1941986      9.6445      0.0001
     -7.8010   5128759      9.7241      0.0001
     -7.7464   1425165      9.6758      0.0003
     -7.6980   1103143      9.6640      0.0004
     -7.6544    767903      9.6086      0.0005
     -7.6148    890432      9.6708      0.0002
     -7.5785    807312      9.6741      0.0004
     -7.5451   2015577      9.8041      0.0001
     -7.5140   2933405      9.8109      0.0000
     -7.4850   1874486      9.8153      0.0000
     -7.4578    683413      9.6706      0.0004
     -7.4323   1996445      9.7847      0.0001
     -7.4081    543350      9.7540      0.0001
     -7.3852    529369      9.7019      0.0002
     -7.3635   1271287      9.7975      0.0001
     -7.3428    478311      9.7327      0.0003
     -7.3231    535483      9.6732      0.0002
     -7.3042    366645      9.7506      0.0003
     -7.2861    457376      9.7579      0.0002
     -7.2687    849959      9.7010      0.0000
     -7.2520   1605669      9.8513      0.0000
     -7.2359   2067990      9.8004      0.0001
     -7.2204   1491658      9.7769      0.0001
     -7.2054   1814827      9.6811      0.0001
     -7.1909    565792      9.7299      0.0002
     -7.1769    459298      9.7310      0.0003
     -7.1633    508198      9.6687      0.0009
     -7.1502    496849      9.7929      0.0001
     -7.1374    511718      9.8101      0.0002
     -7.1250    722895      9.8002      0.0001
     -7.1129   1577620      9.6222      0.0002
     -7.1012    573880      9.6434      0.0002
     -7.0897    994206      9.7479      0.0001
     -7.0786    929356      9.7795      0.0001
     -7.0677    505037      9.7598      0.0000
     -7.0572    363046      9.7190      0.0001
     -7.0468    430998      9.6538      0.0007
     -7.0367    239068      9.6717      0.0002
     -7.0268    853307      9.6984      0.0000
     -7.0172    644352      9.6699      0.0000
     -7.0077    322062      9.6595      0.0001
     -6.9985     65598      9.6330      0.0005

RUN D per-bin results:
   log10_fGW       n_k    log10_UL   log10_err
     -8.5238      2604      9.7040      0.0020
     -8.2856      1125      9.6933      0.0086
     -8.1353      1328      9.6811      0.0114
     -8.0244      3347      9.7662      0.0014
     -7.9364      1369      9.6988      0.0021
     -7.8634       346      9.6710      0.0106
     -7.8009       872      9.7125      0.0022
     -7.7464       287      9.6530      0.0193
     -7.6980       197      9.5938      0.0505
     -7.6544       158      9.6311      0.0241
     -7.6148       179      9.6861      0.0329
     -7.5785       165      9.7593      0.0163
     -7.5451       287      9.7319      0.0059
     -7.5140       779      9.7201      0.0016
     -7.4850       222      9.7300      0.0081
     -7.4578       249      9.7605      0.0061
     -7.4323       310      9.7112      0.0083
     -7.4081        77      9.7353      0.0528
     -7.3852       184      9.7229      0.0034
     -7.3635       148      9.5252      0.0172
     -7.3428        82      9.5332      0.0190
     -7.3231       159      9.5889      0.0333
     -7.3042       101      9.6891      0.0524
     -7.2861       555      9.8102      0.0014
     -7.2687       236      9.7790      0.0072
     -7.2520       198      9.6994      0.0145
     -7.2359       280      9.6844      0.0099
     -7.2204       211      9.6033      0.0110
     -7.2054       155      9.6014      0.0151
     -7.1909       333      9.7008      0.0019
     -7.1769       159      9.7761      0.0154
     -7.1633       109      9.5735      0.0245
     -7.1502       194      9.5681      0.0065
     -7.1374       251      9.6212      0.0047
     -7.1250        94      9.6126      0.0361
     -7.1129       158      9.6142      0.0255
     -7.1012       119      9.6210      0.0224
     -7.0897       173      9.5415      0.0095
     -7.0677       171      9.5470      0.0052
     -7.0572       101      9.4716      0.0264
     -7.0468        77      9.3879      0.0102
     -7.0367        69      9.3955      0.0206
     -7.0268       103      9.4739      0.0173
     -7.0172        82      9.3175      0.0149
     -7.0077        77      9.4344      0.0444
