pipeline,ntol_pct,n_usable,log10_mc_UL,err_bootstrap,err_iid
QuickCW,0.5,3938,9.7862,0.0357,0.0037
QuickCW,1.0,7782,9.7862,0.0405,0.0040
QuickCW,2.0,15324,9.7435,0.0350,0.0038
QuickCW,3.0,23157,9.7440,0.0293,0.0030
QuickCW,5.0,40736,9.7850,0.0320,0.0033
QuickCW,7.0,57415,9.8048,0.0362,0.0019
QuickCW,10.0,84921,9.8111,0.0295,0.0009
QuickCW,15.0,129742,9.8182,0.0252,0.0005
QuickCW,20.0,174039,9.8182,0.0243,0.0005
QuickCW,30.0,260614,9.8182,0.0268,0.0005
QuickCW,50.0,447088,9.8184,0.0203,0.0004
Enterprise,,72001,9.7805,0.0204,
QuickCW-dL,1.0,99999828,9.7723,0.0020,
