ntol_percent,N_surviving,tau_sub,ESS_sub,n_eff,log10_Mc_UL95,err
0.500,3360,9.2460,363.3999,363.3999,9.737883,0.023017
1.000,7151,29.2877,244.1636,244.1636,9.792849,0.035258
2.000,15297,70.0349,218.4196,218.4196,9.887675,0.035353
3.000,22690,77.9102,291.2325,291.2325,9.805985,0.028912
5.000,37532,90.0161,416.9475,416.9475,9.782257,0.021774
7.000,52434,111.3604,470.8498,470.8498,9.780762,0.020189
10.000,74083,137.1451,540.1796,540.1796,9.765884,0.017662
15.000,111087,194.9990,569.6798,569.6798,9.761207,0.017009
20.000,149699,283.7085,527.6508,527.6508,9.754429,0.015720
30.000,226691,501.0628,452.4203,452.4203,9.759574,0.016166
50.000,388925,890.3531,436.8211,436.8211,9.773369,0.019602
# enterprise,72001,190.3948,378.1669,378.1669,9.781358,0.018217
# loki_1pc,100000000,,,,9.771117,0.005456
# loki_10pc,100000000,,,,9.773624,0.001817
